Cod;Produto;Grupo
C0063A;Bolo, mistura p/, preparado <<Cake, dry mix, baked>>;Cereais
C0064A;"Bolo, baunilha, mistura p/, preparado, ""Oetker"" <<Cake, vanilla, dry mix, baked>>";Cereais
C0065A;"Bolo, chocolate, mistura p/, preparado, ""Oetker"" <<Cake, chocolate, dry mix, baked>>";Cereais
C0066A;"Bolo, coco, mistura p/, preparado, ""Oetker"" <<Cake, coconut, dry mix, baked>>";Cereais
C0067A;"Bolo, laranja, mistura p/, preparado, ""Oetker"" <<Cake, orange, dry mix, baked>>,";Cereais
C0068A;"Bolo, mármore, mistura p/, preparado, ""Oetker"" <<Cake, chocolate/vanilla, dry mix, baked>>";Cereais
C0069A;Bolo, industrializado, (média diferentes sabores) <<Cake, snack>>;Cereais
C0070A;"Bolo, baunilha, recheio sabor morango, ""Lanchucco"" <<Cake, vanilla, snack>>";Cereais
C0071A;"Bolo, c/ gotas de chocolate, ""Chocottone"" <<Cake, with chocolate, snack>>";Cereais
C0072A;"Bolo, cenoura, recheio sabor chocolate, ""Bauducco"" <<Cake, carrot, snack>>";Cereais
C0073A;"Bolo, chocolate, recheio sabor chocolate, ""Bauducco"" <<Cake, chocolate, snack>>";Cereais
C0074A;"Bolo, chocolate, recheio sabor chocolate, ""Lanchucco"" <<Cake, chocolate, snack>>";Cereais
C0075A;"Bolo, páscoa, c/ gotas de chocolate, ""Bauducco"" <<Cake, with chocolate chip, snack>>";Cereais
C0076A;Bolo, pronto, (média diferentes sabores) <<Cake, dry mix, baked>>;Cereais
C0077A;Bolo, pronto, aipim <<Cake, cassava, dry mix, baked>>;Cereais
C0078A;Bolo, pronto, chocolate <<Cake, chocolate, dry mix, baked>>;Cereais
C0079A;Bolo, pronto, coco <<Cake, coconut, dry mix, baked>>;Cereais
C0080A;Bolo, pronto, milho <<Cake, corn, dry mix, baked>>;Cereais
C0081A;Centeio, farinha, integral <<Rye, brown, flour>>;Cereais
C0082A;Cereais, barra, (média diferentes sabores) <<Cereal, bar>>;Cereais
C0083A;"Cereais, barra, banana, ""Ritter"" <<Cereal, bar, banana>>";Cereais
C0084A;"Cereais, barra, castanha/uva passa/mel, ""Ritter"" <<Cereal, bar, nuts/raisin/honey>>";Cereais
C0085A;"Cereais, barra, coco c/ chocolate, ""Ritter"" <<Cereal, bar, coco/chocolate>>";Cereais
C0086A;"Cereais, barra, frutas e castanha do Pará, cobertura chocolate, ""Nutry"" <<Cereal, bar, fruits/Brazil nuts>>";Cereais
C0087A;Cereais, farinha, p/ crianças, (média diferentes sabores) <<Babyfood, cereals, for kids (mean of different flavours)>>;Cereais
C0088A;Cereais, farinha, láctea <<Babyfood, cereal, milk>>;Cereais
C0089A;"Cereais, farinha, maçã/banana/mamão, vitamina, ""Neston"" <<Babyfood, cereal, mixed, apple/banana/papaya>>";Cereais
C0090A;"Cereais, farinha, milho, ""Mucilon"" <<Babyfood, cereal, corn>>";Cereais
C0091A;"Cereais, farinha, ""Neston"" <<Babyfood, cereal,mixed >>";Cereais
C0092A;"Cereais, farinha, morango/pêra/banana, vitamina, ""Neston"" <<Babyfood, cereal, mixed, strawberry/pear/banana>>";Cereais
C0093A;Cereais, mistura p/ mingau, (média diferentes sabores) <<Babyfood, cereals, dry mix (mean of different flavours)>>;Cereais
C0094A;Cereais, milho, infantil, mistura p/ mingau <<Babyfood, cereals, porridge, dry mix>>;Cereais
C0095A;Cereais, c/ vitamina, trigo, cevada e aveia, mistura p/ mingau <<Babyfood, cereals, mixed, wheat/barley/oat, dry mix>>;Cereais
C0098A;Cereal matinal, (média diferentes marcas) <<Breakfast cereal (mean of different branded)>>;Cereais
C0099A;"Cereal matinal, ""Snow Flakes"" <<Breakfast cereal>>";Cereais
C0100A;Cereal matinal, milho <<Breakfast cereal, corn>>;Cereais
C0101A;Cereal matinal, milho, açúcar <<Breakfast cereal, corn , with sugar>>;Cereais
C0102A;"Cereal matinal, milho, ""Corn Flakes"" <<Breakfast cereal, corn>>";Cereais
C0103A;"Cereal matinal, milho, c/ açúcar, ""Sucrilhos"" <<Breakfast cereal, corn, with sugar>>";Cereais
C0104A;"Cereal matinal, milho, corn flakes, ""Nestlé"" <<Breakfast cereal, corn flakes>>";Cereais
C0105A;"Cereal matinal, milho/trigo/aveia, ""Froot Loops"" <<Breakfast cereal, corn/wheat/oat>>";Cereais
C0106A;Cevada , nua, Hordeum vulgare L., (média diferentes cultivares) <<Barley, groats (mean of different cultivars)>>;Cereais
C0107A;Farinha, de rosca <<Breadcrumbs>>;Cereais
C0108A;"Farinha, rosca, """"Hikari"""" <<Breadcrumbs>>";Cereais
C0109A;Lasanha, massa, fresca, c/ ovos, cozida <<Pasta, lasagna, cooked>>;Cereais
C0110A;Lasanha, massa, fresca, c/ ovos, crua <<Pasta for lasagna, raw>>;Cereais
C0111A;Lasanha, (média diferentes sabores) <<Pasta, lasagna (mean of different stuffed)>>;Cereais
C0112A;"Lasanha, bolonhesa, congelada, ""Sadia"" <<Pasta, lasagna, bolognese, frozen>>";Cereais
C0113A;"Lasanha, quatro queijos, congelada, ""Sadia"" <<Pasta, lasagna, four cheese, frozen>>";Cereais
C0114A;"Lasanha, verde, bolonhesa, congelada, ""Sadia"" <<Pasta, lasagna, green, bolognese, frozen>>";Cereais
C0115A;"Lasanha, mini, bolonhesa, congelada, ""Sadia"" <<Pasta, lasagna, mini, bolognese, frozen>>";Cereais
C0116A;Macarrão, trigo, seco, cozido, drenado, s/ sal (média diferentes marcas) <<Pasta, cooked, drained, without salt (mean of different branded) >>;Cereais
C0117A;Macarrão, trigo, seco, cru, (média diferentes tipos) <<Pasta, dry (mean of different recipes)>>;Cereais
C0118A;Macarrão, trigo, s/ ovos, seco, cru <<Pasta, with eggs, dry, raw>>;Cereais
C0119A;Macarrão, trigo, c/ ovos, seco, cru <<Pasta, without eggs, dry, raw>>;Cereais
C0120A;Macarrão, trigo, instantâneo <<Pasta, noodles, raw>>;Cereais
C0121A;Massa, fresca, crua, industrializada (média diferentes recheios) <<Pasta, fresh, raw (mean of different stuffed)>>;Cereais
C0122A;"Massa, fresca, capeletti, carne, ""Sadia"" <<Pasta, fresh, capeletti, beef>>";Cereais
C0123A;"Massa, fresca, ravioli, queijo, ""Sadia"" <<Pasta, fresh, ravioli, cheese>>";Cereais
C0124A;Milho, amido, cru <<Corn, starch, raw>>;Cereais
C0125A;Milho, fubá, cru (média diferentes marcas) <<Corn, flour, yellow, raw (mean of different branded)>>;Cereais
C0126A;Canjica, milho, branca, crua <<Corn, grain, white, raw>>;Cereais
C0127A;Milho, minimilho <<Corn, sweet, mini>>;Cereais
C0128A;Milho, farinha (média diferentes marcas/granulação) <<Corn, flour, yellow (mean of different branded)>>;Cereais
C0129A;Milho, pipoca, s/ sal, preparado <<Popcorn, oil-popped, without salt>>;Cereais
C0005A;Milho, pipoca, grão, cru, Zea mays (média diferentes amostras) <<Popcorn, grains, raw (mean of different samples)>>;Cereais
C0130A;Milho, pipoca, p/ micro-ondas, cru (média diferentes sabores) <<Popcorn, microwave, raw (mean of different flavors)>>;Cereais
C0133A;"Milho, pipoca, p/ micro-ondas, bacon, cru, ""Hikari"" <<Popcorn, microwave, bacon>>";Cereais
C0134A;"Milho, pipoca, p/ micro-ondas, manteiga, cru, ""Hikari"" <<Popcorn, microwave, butter>>";Cereais
C0135A;"Milho, pipoca, p/ micro-ondas, natural, cru, ""Hikari"" <<Popcorn, microwave, natural>>";Cereais
C0136A;"Milho, pipoca, p/ micro-ondas, queijo, cru, ""Hikari"" <<Popcorn, microwave, cheese>>";Cereais
C0007A;Milho, verde, grão, enlatado, drenado (média diferentes marca) <<Corn, sweet, canned (mean of different branded)>>;Cereais
C0138A;"Milho, verde, cozido no vapor, ""Jurema"" <<Corn, sweet, grain, steamed, canned>>";Cereais
C0006A;Milho, verde, grão, cru, Zea mays (média diferentes amostras) <<Corn, sweet, grain, raw (mean of different samples)>>;Cereais
C0140A;Milho, curau <<Corn, sweet, grated, cooked>>;Cereais
C0141A;Milho, curau, mistura p/ <<Corn, sweet, grated, dry mix>>;Cereais
C0142A;Milho, verde, pamonha, pré-cozido <<Corn-paste, cooked, wrapped in husks>>;Cereais
C0143A;Milho, polenta/fubá, cozido <<Polenta>>;Cereais
C0145A;Pão, trigo, gluten, forma <<Bread, gluten>>;Cereais
C0146A;Pão, milho, forma <<Bread, corn>>;Cereais
C0147A;Pão, trigo, leite (média de diferentes tipos) <<Bread, milk (mean of different types)>>;Cereais
C0148A;Pão, trigo, bisnaguinha <<Bread, milk>>;Cereais
C0149A;Pão, trigo, integral, caseiro <<Bread, wholemeal>>;Cereais
C0150A;Pão, trigo, fonte de fibra, forma (média de diferentes tipos) <<Bread, with fiber (mean of different types)>>;Cereais
C0151A;"Pão, trigo, c/ trigo/aveia/soja, forma, ""Energia"" <<Bread, wheat/oat/soy>>";Cereais
C0152A;"Pão, trigo, c/ fibras, forma, ""Diet Bread"" <<Bread, with fiber>>";Cereais
C0153A;"Pão, trigo, integral, c/ fibras, forma, ""Grão Sabor"" <<Bread, whole-wheat>>";Cereais
C0154A;"Pão, trigo, integral, c/ fibras, forma, ""Quadradinho"" <<Bread, whole-wheat, fiber>>";Cereais
C0155A;Pão, trigo, integral, forma (média diferentes marcas) <<Bread, whole-wheat (mean of different branded)>>;Cereais
C0157A;Pão, trigo/centeio, preto, forma <<Bread, wheat/rye>>;Cereais
C0003A;Pão, trigo, branco, forma, tradicional (médias de diferentes marcas) <<Bread, wheat, white (mean of different branded)>>;Cereais
C0004A;Pão, trigo, branco, hamburguer/hot dog/leite (média de diferentes amostras) <<Bread, for sandwich (mean of different samples)>>;Cereais
C0158A;Pão, trigo, hamburger <<Bread, hamburger>>;Cereais
C0159A;Pão, trigo, hot dog <<Bread, for hot dog>>;Cereais
C0002A;Pão, trigo, branco, francês (médias de diferentes amostras) <<Bread, french (mean of different sample>>;Cereais
C0160A;Pão, trigo, sovado <<Bread, sourdough>>;Cereais
C0161A;"Pastel, massa fresca, diferentes recheios, cru (média de diferentes recheios) <<Pastry, raw ""pastel"" ((mean of different stuffed)>>";Cereais
C0162A;"Pastel, massa fresca, crua <<Pastry, raw ""pastel"">>";Cereais
C0163A;"Pastel, massa fresca, carne, cru <<Pastry, with ground beef, raw ""pastel"">>";Cereais
C0164A;"Pastel, massa fresca, queijo, cru <<Pastry, with cheese, raw ""pastel"">>";Cereais
C0165A;"Pastel, frito, diferentes recheios (média de diferentes recheios) <<Pastry, fried, ""pastel"" (mean of different stuffed)>>";Cereais
C0166A;"Pastel, frito, carne <<Pastry, with ground beef, fried, ""pastel"">>";Cereais
C0167A;"Pastel, frito, queijo <<Pastry, with cheese, fries, ""pastel"">>";Cereais
C0168A;"Pastel, massa fresca, frita <<Pastry, fries, ""pastel"">>";Cereais
C0169A;Torrada, trigo, tradicional <<Toasted, wheat (mean of diffent types)>>, média diferentes tipos;Cereais
C0170A;"Torrada, integral, ""Bauducco"" <<Toasted, whole-wheat>>";Cereais
C0171A;"Torrada, levemente doce, ""Bauducco"" <<Toasted, wheat, sweet>>";Cereais
C0172A;"Torrada, levemente salgada, ""Bauducco"" <<Toasted, wheat, salt>>";Cereais
C0173A;Torrada, pão francês <<Toasted, wheat, bread french>>;Cereais
C0137A;Trigo, farelo <<Wheat, bran>>;Cereais
C0139A;Trigo, farinha, branca, fortificada com ferro e ácido fólico, crua (média de diferentes amostras) <<Wheat, flour, white (mean of different samples)>>;Cereais
C0132A;Trigo, farinha, integral, crua (média diferentes amostras) <<Wheat, flour, whole-wheat (mean of different samples)>>;Cereais
C0187A;Arroz carreteiro <<Brazilian recipe, rice, with jerked beef>>;Cereais
C0188A;Baião de dois, arroz e feijão de corda <<Brazilian recipe, rice and beans>>;Cereais
C0189A;Bolinho de arroz <<Rice balls>>;Cereais
C0190A;Cuscuz de milho, c/ sal, cozido <<Couscous, corn, with salt>>;Cereais
C0191A;Cuscuz paulista <<Brazilian recipe, couscous with corn flour and vegetables>>;Cereais
C0192A;Macarrão, molho bolonhesa <<Pasta, bolognese sauce>>;Cereais
C0203A;Vatapá <<Brazilian recipe,breadcrumbs, shrimp, coconut milk, ground peanuts and dende palm oil>>;Cereais
C0204A;Yakissoba <<Yakissoba, fried noodles, vegetables, meat, spy sauce>>;Cereais
C0205A;"Torta, salgada, mistura p/, preparada ""Oetker"" <<Pie crust, dry mix, prepared>>";Cereais
C0206A;Milho, pipoca, crua (média de diferentes sabores) <<Popcorn, grains, raw (mean of different flavors)>>;Cereais
C0210A;Arroz, integral, cozido, c/ óleo e temperos, s/ sal <<Rice, brown, cooked, with oil and spices, without salt>>;Cereais
C0211A;Arroz, integral, cozido, c/ óleo e temperos, c/ sal <<Rice, brown, cooked, with oil and spices, with salt>>;Cereais
C0208A;Arroz, polido, cozido, c/ óleo e temperos, s/ sal <<Rice, white, cooked, with oil and spices, without salt>>;Cereais
C0209A;Arroz, polido, cozido, c/ óleo e temperos, c/ sal <<Rice, white, cooked, with oil and spices, with salt>>;Cereais
C0207A;Aveia, flocos, crua, Avena sativa <<Oat, flakes, raw>>;Cereais
C0200A;Biscoito, doce, maisena <<Galletas, coockies, cornstarch>>;Cereais
C0201A;Biscoito, salgado, cream cracker <<Cracker, cream cracker>>;Cereais
C0197A;Bolo, trigo, branco <<Cake, wheat, common>>;Cereais
C0185A;Canjica, milho, branca, cozida, drenada <<Corn, grain, white, cooked, drained>>;Cereais
C0184A;Canjica, milho, branca, cozida, c/ leite integral e açúcar <<Corn, grain, white, cooked, with milk and sugar>>;Cereais
C0194A;Macarrão, trigo, c/ ovos, cozido, drenado, s/ sal <<Pasta, wheat, with eggs, cooked, without salt>>;Cereais
C0213A;Macarrão, trigo, c/ ovos, ao alho e óleo, s/ sal <<Pasta, wheat, with eggs, cooked, with garlic and oil, with salt>>;Cereais
C0214A;Macarrão, trigo, c/ ovos, ao alho e óleo, c/ sal <<Pasta, wheat, with eggs, cooked, with garlic and oil, without salt>>;Cereais
C0217A;Macarrão, trigo, c/ ovos, ao sugo, s/ sal <<Pasta, wheat, with eggs, cooked, with tomato sauce, without salt>>;Cereais
C0218A;Macarrão, trigo, c/ ovos, ao sugo, c/ sal <<Pasta, wheat, with eggs, cooked, with tomato sauce and salt>>;Cereais
C0219A;Macarrão, trigo, c/ ovos, ao molho branbco, s/ sal <<Pasta, wheat, with eggs, cooked, with bechamel sauce, with salt>>;Cereais
C0220A;Macarrão, trigo, c/ ovos, ao molho branbco, c/ sal <<Pasta, wheat, with eggs, cooked, with bechamel sauce, without salt>>;Cereais
C0221A;Macarrão, trigo, c/ ovos, ao vinagrete, s/ sal <<Pasta, wheat, with eggs, cooked, sauce (tomato, onion, vinager, oil), with salt>>;Cereais
C0222A;Macarrão, trigo, c/ ovos, ao vinagrete, c/ sal <<Pasta, wheat, with eggs, cooked, sauce (tomato, onion, vinager, oil), without salt>>;Cereais
C0215A;Macarrão, trigo, c/ ovos, na manteiga, s/ sal <<Pasta, wheat, with eggs, cooked, with butter, without salt>>;Cereais
C0216A;Macarrão, trigo, c/ ovos, na manteiga, c/ sal <<Pasta, wheat, with eggs, cooked, with butter and salt>>;Cereais
C0195A;Macarrão, trigo, s/ ovos, cozido, drenado, s/ sal <<Pasta, wheat, without eggs, cooked, without salt>>;Cereais
C0180A;Milho, verde, grão, assado, s/ sal, Zea mays <<Corn, sweet, baked, without salt>>;Cereais
C0181A;Milho, verde, grão, assado, c/ sal, Zea mays <<Corn, sweet, baked, with salt>>;Cereais
C0178A;Milho, verde, grão, assado, c/ manteiga, s/ sal <<Corn, sweet, baked, with butter, without salt>>;Cereais
C0179A;Milho, verde, grão, assado, c/ manteiga, c/ sal <<Corn, sweet, baked, with butter and salt>>;Cereais
C0176A;Milho, verde, grão, cozido, drenado, s/ sal, Zea mays <<Corn, sweet, boiled, drained, without salt>>;Cereais
C0177A;Milho, verde, grão, cozido, drenado, c/ sal, Zea mays <<Corn, sweet, boiled, drained, with salt>>;Cereais
C0174A;Milho, verde, grão, cozido, drenado, c/ manteiga, s/ sal <<Corn, sweet, boiled, drained, with butter, without salt>>;Cereais
C0175A;Milho, verde, grão, cozido, drenado, c/ manteiga, c/ sal <<Corn, sweet, boiled, drained, with butter, with salt>>;Cereais
C0182A;Milho, verde, grão, refogado, s/ sal <<Corn, sweet, grain, braised, with salt>>;Cereais
C0183A;Milho, verde, grão, refogado, c/ sal <<Corn, sweet, grain, braised, without salt>>;Cereais
C0196A;Pão, trigo, batata <<Bread, wheat and potato>>;Cereais
C0193A;Pão, trigo, doce, c/ creme <<Bread, wheat, sweet, with cream>>;Cereais
C0198A;Rosquinha, doce, frita, c/ açúcar e canela <<Donut, fried, with sugar and cinnamon>>;Cereais
C0202A;Sonho, frito, c/ creme <<Donut, fried, with cream>>;Cereais
C0054N;Milho, pipoca, p/ micro-ondas, light, cru <<Popcorn, microwave, light, raw>>;Dietéticos
C0055N;Milho, pipoca, micro-ondas, light, preparado <<Popcorn, microwave, light, prepared>>;Dietéticos
C0225A;Pizza, muçarela, assada <<Pizza, mozzarella>>;Cereais
C0199A;Pizza, massa, assada <<Pizza, pasta, baked>>;Cereais
C0226A;Bolo, fubá, caseiro <<Cake, coconut, homemade>>;Cereais
C0227A;Bolo, coco, caseiro <<Cake, corn flour, homemade>>;Cereais
C0240A;Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ catchup, mostarda e maionese <<Sandwich, hot dog, bread, with ketchup, mustard, mayonnaise>>;Cereais
C0241A;Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ catchup, mostarda, maionese, milho, ervilha, purê de batata, molho vinagrete e batata palha <<Sandwich, hot dog, bread, with ketchup, mustard, mayonnaise, green pea and corn canned, potato mashed, potato fried and with sauce (tomato, onion, parsley, vinegar and oil)>>;Cereais
C0242A;Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ milho, ervilha, batata palha e molho de tomate <<Sandwich, hot dog, bread, with green pea and corn canned, potato fried and tomato sauce>>;Cereais
C0243A;Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ molho de tomate <<Sandwich, hot dog, bread, with tomato sauce>>;Cereais
C0244A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ catchup, mostarda e maionese <<Sandwich, grilled beef burger, bread, with ketchup, mustard, mayonnaise>>;Cereais
C0245A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer) <<Sandwich, grilled beef burger, bread>>;Cereais
C0246A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ maionese <<Sandwich, grilled beef burger, bread and mayonnaise>>;Cereais
C0247A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato, cebola e pepino <<Sandwich, grilled beef burger, bread, with prato cheese, onion and cucumber>>;Cereais
C0248A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato <<Sandwich, grilled beef burger, bread, with prato cheese>>;Cereais
C0249A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato e maionese <<Sandwich, grilled beef burger, bread, with prato cheese and mayonnaise>>;Cereais
C0250A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface e tomate <<Sandwich, grilled beef burger, bread, with lettuce and tomato>>;Cereais
C0251A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface, tomate e maionese <<Sandwich, grilled beef burger, bread, with lettuce, tomato and mayonnaise>>;Cereais
C0252A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato, alface, tomate e maionese <<Sandwich, grilled beef burger, bread, with prato cheese, lettuce, tomato and mayonnaise>>;Cereais
C0253A;Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), queijo prato, alface e tomate <<Sandwich, grilled beef burger, bread, with prato cheese, lettuce and tomato>>;Cereais
C0254A;Sanduíche, pão francês, c/ presunto, queijo muçarela, alface, tomate e maionese <<Sandwich, french bread, with ham, mozzarella cheese, lettuce, tomato and mayonnaise>>;Cereais
C0255A;Sanduíche, pão francês, c/ presunto, queijo muçarela, alface e tomate <<Sandwich, french bread, with ham, mozzarella cheese, lettuce and tomato>>;Cereais
C0256A;Sanduíche, americano (pão forma tradicional, presunto, queijo muçarela, alface, tomate, e ovo frito), c/ maionese <<Sandwich, white bread, with ham, mozzarella cheese, lettuce, tomato, fried egg and mayonnaise >>;Cereais
C0257A;Sanduíche, americano (pão forma tradicional, presunto, queijo muçarela, alface, tomate e ovo frito) <<Sandwich, white bread, with ham, mozzarella cheese, lettuce, tomato and fried egg>>;Cereais
C0259A;Sanduíche, americano (pão forma integral c/ presunto, queijo muçarela, alface, tomate e ovo frito) , c/ maionese <<Sandwich, whole wheat bread, with ham mozzarella cheese, lettuce, tomato, mayonnaise and fried egg>>;Cereais
C0260A;Sanduíche, americano, (pão forma integral c/presunto, queijo muçarela, alface, tomate e ovo frito) <<Sandwich, whole wheat bread, with ham, mozzarella cheese, lettuce, tomato and fried egg>>;Cereais
C0261A;Sanduíche, pão forma tradicional c/ presunto, queijo muçarela e maionese <<Sandwich, white bread, with ham, mozzarella cheese and mayonnaise>>;Cereais
C0262A;Sanduíche, pão forma tradicional c/ presunto, queijo muçarela e manteiga <<Sandwich, white bread, with ham, mozzarella cheese and butter>>;Cereais
C0263A;Sanduíche, pão forma integral, c/ presunto, queijo muçarela e maionese <<Sandwich, whole wheat bread, with ham, mozzarella cheese and mayonnaise>>;Cereais
C0264A;Sanduíche, pão forma integral, c/ presunto e queijo muçarela <<Sandwich, whole wheat bread, with ham and mozzarella cheese>>;Cereais
C0265A;Sanduíche, pão forma integral, c/ presunto, queijo muçarela e manteiga <<Sandwich, whole wheat bread, with ham, mozzarella cheese and butter>>;Cereais
C0266A;Sanduíche, pão francês, c/ presunto, queijo muçarela e maionese <<Sandwich, french bread, with ham, mozzarella cheese and mayonnaise>>;Cereais
C0267A;Sanduíche, pão francês, c/ presunto e queijo muçarela <<Sandwich, french bread, with ham and mozzarella cheese>>;Cereais
